CustomerKey,GeographyKey,BusinessType,Customer,NumberEmployees,AnnualRevenue,YearOpened
541,492,Warehouse,Quality Store,100,300000,2003
542,623,Supplement Store,Monster Naturo,18,80000,1979
543,649,Gym,Iron Mine Gym,27,100000,2002
544,484,Warehouse,Departzoid,66,300000,1983
545,357,Supplement Store,Supplements Tough,17,80000,2001
546,390,Supplement Store,Supplements Achilles,2,30000,1974
547,382,Gym,Rising Stars,10,80000,1976
548,557,Warehouse,Warehousegenix,40,150000,1978
549,403,Supplement Store,Monster Potential,5,30000,1980
550,110,Gym,Shake it Off Fitness,13,80000,1982
551,94,Warehouse,Connect Sports,43,150000,1984
552,94,Supplement Store,Supplements Habit,8,30000,1986
553,197,Gym,Soul Cycle,16,80000,1988
554,151,Warehouse,Haven Sports,46,150000,1990
555,3,Supplement Store,100% Puro Suplementos,11,80000,1992
556,256,Gym,Soul Fitness,19,80000,1994
557,457,Warehouse,Start Warehouse,49,150000,1996
558,504,Supplement Store,Supplements Marvel,14,80000,1998
559,654,Gym,Iron Tribe Fitness,22,100000,2000
560,655,Warehouse,Sportsbea,52,300000,2002
561,593,Supplement Store,Monster Breathe,17,80000,2004
562,480,Gym,Let’s Burn,25,100000,2005
563,286,Warehouse,Hardcore Department,55,300000,2003
564,510,Supplement Store,Monster Axe,20,100000,2004
565,381,Gym,Mode Body Boutique,28,100000,1975
566,489,Warehouse,Utopia Sports,58,300000,2003
567,570,Supplement Store,Nutrition Born,19,80000,1979
568,94,Gym,The Foundry,31,150000,2002
569,85,Warehouse,Sportsman Department,61,300000,1983
570,105,Supplement Store,Supplements Boulder,18,80000,2001
571,191,Gym,The Sky Barre,34,150000,1987
572,156,Warehouse,Rep Warehouse,64,300000,2000
573,14,Supplement Store,Iron Suplementos,17,80000,1991
574,246,Gym,The Weight Date,37,150000,1999
575,525,Warehouse,Ability Sports,67,300000,1995
576,530,Supplement Store,Supplements Fresh,16,80000,1998
577,642,Gym,Unanimous Boxing,40,150000,1999
578,633,Warehouse,Storely,70,300000,1997
579,475,Supplement Store,Nutrition Evolution,15,80000,2003
580,591,Gym,Uptown Fitness,43,150000,1996
581,506,Warehouse,Departtastic,73,300000,2002
582,379,Supplement Store,Supplements Ninja,14,80000,1995
583,290,Gym,Venture Crossfit,46,150000,2001
584,426,Warehouse,Heal Sports,76,300000,1994
585,567,Supplement Store,Nutrition Lifestyle,13,80000,2000
586,106,Gym,Wicker Park Fitness,49,150000,1993
587,89,Warehouse,Warehouseify,79,300000,1999
588,47,Supplement Store,Supplements Energy,12,80000,1992
589,198,Gym,360 Mind Body Soul,48,150000,1998
590,173,Warehouse,Outward Sports,80,300000,1991
591,35,Supplement Store,Arnold is King,11,80000,1997
592,251,Gym,Alphalete Gym,47,150000,1990
593,529,Warehouse,Endure Store,81,300000,1996
594,502,Supplement Store,Monster Energise,10,80000,1989
595,535,Gym,Battle Ground Fitness,46,150000,1995
596,616,Warehouse,Protein Sports,82,300000,1988
597,582,Supplement Store,Monster Rep,9,30000,1994
598,481,Gym,Blink Fitness,45,150000,1987
599,366,Warehouse,Prosper Sports,83,300000,1993
600,346,Supplement Store,Nutrition Sculpt,8,30000,1986
601,600,Gym,Body Tech Fitness,44,150000,1992
602,566,Warehouse,Warehousenest,84,300000,1985
603,409,Supplement Store,Nutrition Effort,7,30000,1991
604,537,Gym,Body Temple Gym,43,150000,1984
605,641,Warehouse,Thor Department,85,300000,1990
606,651,Supplement Store,Nutrition Physical,6,30000,1983
607,586,Gym,Christ Fit Gym,42,150000,1989
608,332,Warehouse,Rediscover Store,86,300000,1982
609,294,Supplement Store,Monster Insight,5,30000,1988
610,289,Gym,ConqHER Fitness,41,150000,1981
611,402,Warehouse,Bulk Department,87,300000,1987
612,405,Supplement Store,Monster BodyBuild,4,30000,1980
613,97,Gym,Crunch Fitness,40,150000,1986
614,203,Warehouse,Rhino Sports,88,300000,1979
615,158,Supplement Store,Supplements Iron,3,30000,1985
616,8,Gym,BodyWorks,39,150000,1978
617,263,Warehouse,Storelaza,89,300000,1984
618,503,Supplement Store,Nutrition A+,2,30000,1977
619,518,Gym,Destiny Fitness,38,150000,1983
620,654,Warehouse,All Star Warehouse,90,300000,1976
621,609,Supplement Store,Monster All Star,4,30000,1982
622,438,Gym,Empower Fitness,37,150000,1975
623,479,Warehouse,Storenest,91,300000,1981
624,289,Supplement Store,Supplements People,6,30000,1974
625,285,Gym,Exhalt Gym,36,150000,1980
626,509,Warehouse,Good Department,92,300000,1991
627,497,Supplement Store,Monster Vigor,8,30000,1979
628,409,Gym,Faith Fitness,35,150000,1992
629,41,Warehouse,Supreme Sports,93,300000,1978
630,93,Supplement Store,Monster Vital,10,80000,1974
631,93,Gym,Fighter Nation,34,150000,1976
632,212,Warehouse,Skill Sports,94,300000,1978
633,116,Supplement Store,Monster Edge,12,80000,1980
634,14,Gym,Premium Body,33,150000,1982
635,235,Warehouse,Expert Warehouse,95,300000,1984
636,444,Supplement Store,Nutrition Bio,14,80000,1986
637,93,Gym,Fitness Authority,32,150000,1988
638,200,Warehouse,Cleanse Department,96,300000,1990
639,118,Supplement Store,Nutrition Young,16,80000,1992
640,30,Gym,Kardio Work,31,150000,1994
641,252,Warehouse,Circulate Sports,97,300000,1996
642,459,Supplement Store,Supplements Crunch,18,80000,1998
643,468,Gym,Fitness Love,30,150000,2000
644,549,Warehouse,Expert Department,98,300000,2002
645,536,Supplement Store,Supplements Compound,20,100000,2004
646,487,Gym,Next Age Fitness,29,100000,2005
647,571,Warehouse,Habit Sports,99,300000,2003
648,317,Supplement Store,Nutrition Protein,19,80000,2004
649,367,Gym,Olympus Gym,28,100000,1975
650,511,Warehouse,Departquipo,100,300000,2003
651,417,Supplement Store,Nutrition Cleanse,18,80000,1979
652,424,Gym,POW! Gym,27,100000,2002
653,93,Warehouse,Start Store,66,300000,1983
654,74,Supplement Store,Supplements Solution,17,80000,2001
655,102,Supplement Store,Nutrition Boost,2,30000,1974
656,196,Gym,Square One Fitness,10,80000,1976
657,136,Warehouse,Juggernaut Sports,40,150000,1978
658,1,Supplement Store,Nutrition Athletic,5,30000,1980
659,248,Gym,Stone Summit,13,80000,1982
660,462,Warehouse,Examine Store,43,150000,1984
661,41,Supplement Store,Nutrition Paramount,8,30000,1986
662,185,Gym,Strong Tower,16,80000,1988
663,137,Warehouse,Fulfil Sports,46,150000,1990
664,35,Supplement Store,Suplementos do Maromba,11,80000,1992
665,255,Gym,Super Stars,19,80000,1994
666,526,Warehouse,Warehousenest,49,150000,1996
667,523,Supplement Store,Monster Expert,14,80000,1998
668,619,Gym,Progressive Gym,22,100000,2000
669,617,Warehouse,Storelux,52,300000,2002
670,485,Supplement Store,Supplements League,17,80000,2004
671,591,Gym,Quads Gym,25,100000,2005
672,596,Warehouse,Warehousescape,55,300000,2003
673,594,Supplement Store,Monster Quest,20,100000,2004
674,314,Gym,Real Fitness,28,100000,1975
675,410,Warehouse,Sportstastic,58,300000,2003
676,418,Supplement Store,Supplements Gun,19,80000,1979
677,88,Gym,Fitness Master,31,150000,2002
678,93,Warehouse,Haven Sports,61,300000,1983
679,104,Supplement Store,Supplements Micro,18,80000,2001
680,218,Gym,Five Point Fitness,34,150000,1987
681,178,Warehouse,Macho Store,64,300000,2000
682,10,Supplement Store,Supplements Step,17,80000,1991
683,257,Gym,Focused Movement,37,150000,1999
684,396,Warehouse,Knight Store,67,300000,1995
685,107,Supplement Store,Nutrition Pathway,16,80000,1998
686,219,Gym,Fortified Fitness,40,150000,1999
687,159,Warehouse,Departops,70,300000,1997
688,18,Supplement Store,Nutrition Sense,15,80000,2003
689,249,Gym,Foundation Fitness,43,150000,1996
690,528,Warehouse,Powerlift Department,73,300000,2002
691,397,Supplement Store,Supplements Stable,14,80000,1995
692,550,Gym,Friends of Jesus,46,150000,2001
693,540,Warehouse,Clinic Store,76,300000,1994
694,478,Supplement Store,Nutrition AAA,13,80000,2000
695,484,Gym,Gladiator Fitness,49,150000,1993
696,598,Warehouse,Enhance Warehouse,79,300000,1999
697,601,Supplement Store,Monster Progress,12,80000,1992
698,595,Gym,Gravity Fitness,48,150000,1998
699,496,Warehouse,Shield Warehouse,80,300000,1991
700,494,Supplement Store,Supplements Care,11,80000,1997
701,41,Warehouse,Thor Sports,81,300000,1996
