SalesDetails,SalesOrderNumber,OrderDate,DueDate,ShipDate,CustomerKey,RegionKey,DiscountAmount,TotalAmount,SalesAmount,EmployeeKey
1075,SO51769,2025-01-28,2025-02-09,2025-04-02,426,6,1520.24,55917.57,54397.33,133
1076,SO47012,2024-01-29,2024-02-10,2024-05-02,66,6,1115.84,40697.94,39582.1,133
1077,SO43668,2022-12-29,2023-01-10,2023-05-01,514,6,978.16,35944.16,34966.0,134
1078,SO65189,2025-08-29,2025-09-10,2025-05-09,408,6,932.66,32766.12,31833.46,132
1079,SO44539,2023-05-01,2023-05-13,2023-08-05,661,6,74.68,1450.89,1376.21,132
1080,SO45780,2023-09-29,2023-10-11,2023-06-10,442,6,726.0,31193.32,30467.32,135
1081,SO57021,2025-04-30,2025-05-12,2025-07-05,28,6,11.14,221.95,210.81,134
1082,SO58932,2025-05-30,2025-06-11,2025-06-06,408,6,2242.44,72304.44,70062.0,135
1083,SO46079,2023-10-29,2023-11-10,2023-05-11,29,6,198.36,6086.38,5888.02,132
1084,SO58925,2025-05-30,2025-06-11,2025-06-06,282,6,703.58,24805.84,24102.26,132
1085,SO51156,2024-12-28,2025-01-09,2025-04-01,425,6,196.22,3840.19,3643.97,132
1086,SO48768,2024-06-30,2024-07-12,2024-07-07,119,6,1278.82,32159.52,30880.7,106
1087,SO71806,2025-11-29,2025-12-11,2025-06-12,497,6,496.82,14909.19,14412.37,135
1088,SO49879,2024-09-28,2024-10-10,2024-05-10,496,6,1971.02,78423.33,76452.31,134
1089,SO71788,2025-11-29,2025-12-11,2025-06-12,637,6,33.24,1365.58,1332.34,135
1090,SO46953,2024-01-29,2024-02-10,2024-05-02,12,6,1583.74,64355.81,62772.07,132
1091,SO50246,2024-10-28,2024-11-09,2024-04-11,317,6,685.28,26049.49,25364.21,134
1092,SO50699,2024-11-28,2024-12-10,2024-05-12,588,6,1013.34,28921.89,27908.55,135
1093,SO45781,2023-09-29,2023-10-11,2023-06-10,227,6,1638.4,45943.76,44305.37,132
1094,SO47357,2024-02-29,2024-03-12,2024-07-03,613,6,343.36,8057.66,7714.3,132
1095,SO51818,2025-01-28,2025-02-09,2025-04-02,100,6,892.36,39731.71,38839.35,134
1096,SO63121,2025-07-31,2025-08-12,2025-07-08,353,6,1.4,167.98,166.58,133
1097,SO53535,2025-02-28,2025-03-12,2025-07-03,154,6,3222.98,106905.12,103682.14,134
1098,SO65169,2025-08-29,2025-09-10,2025-05-09,630,6,0.38,12.14,11.76,133
1099,SO46334,2023-11-29,2023-12-11,2023-06-12,678,6,2183.34,57018.39,54835.05,106
1100,SO44495,2023-05-01,2023-05-13,2023-08-05,11,6,28.56,4076.39,4047.83,134
1101,SO47380,2024-02-29,2024-03-12,2024-07-03,497,6,1242.52,44036.76,42794.24,133
1102,SO51699,2025-01-28,2025-02-09,2025-04-02,64,6,891.04,23919.03,23027.99,135
1103,SO47411,2024-02-29,2024-03-12,2024-07-03,10,6,1154.76,37498.46,36343.7,132
1104,SO67268,2025-09-29,2025-10-11,2025-06-10,299,6,1141.58,35534.18,34392.6,106
1105,SO50239,2024-10-28,2024-11-09,2024-04-11,280,6,17.72,1743.45,1725.73,134
1106,SO44111,2023-03-01,2023-03-13,2023-08-03,460,6,409.14,11641.32,11232.18,133
1107,SO43662,2022-12-29,2023-01-10,2023-05-01,227,6,572.82,28832.53,28259.71,135
1108,SO46932,2024-01-29,2024-02-10,2024-05-02,353,6,89.46,3661.1,3571.64,133
1109,SO48779,2024-06-30,2024-07-12,2024-07-07,425,6,71.66,2631.87,2560.21,134
1110,SO46929,2024-01-29,2024-02-10,2024-05-02,390,6,0.4,24.29,23.89,133
1111,SO46632,2023-12-29,2024-01-10,2024-05-01,246,6,0.4,24.29,23.89,134
1112,SO48039,2024-04-30,2024-05-12,2024-07-05,661,6,19.64,1720.8,1701.16,133
1113,SO53484,2025-02-28,2025-03-12,2025-07-03,497,6,526.76,28063.19,27536.43,132
1114,SO48744,2024-06-30,2024-07-12,2024-07-07,245,6,571.88,18999.13,18427.25,134
1115,SO57082,2025-04-30,2025-05-12,2025-07-05,426,6,500.74,23983.7,23482.96,134
1116,SO65251,2025-08-29,2025-09-10,2025-05-09,156,6,74.26,2922.83,2848.57,106
1117,SO55275,2025-03-30,2025-04-11,2025-06-04,245,6,2295.84,64716.33,62420.49,132
1118,SO47979,2024-04-30,2024-05-12,2024-07-05,101,6,119.52,3554.66,3435.14,134
1119,SO71842,2025-11-29,2025-12-11,2025-06-12,460,6,0.42,10.79,10.37,135
1120,SO65162,2025-08-29,2025-09-10,2025-05-09,613,6,51.34,4634.91,4583.57,133
1121,SO51740,2025-01-28,2025-02-09,2025-04-02,677,6,83.38,3495.65,3412.27,135
1122,SO44746,2023-05-31,2023-06-12,2023-07-06,47,6,367.38,14290.2,13922.82,133
1123,SO48354,2024-05-30,2024-06-11,2024-06-06,46,6,0.44,202.33,201.89,133
1124,SO45797,2023-09-29,2023-10-11,2023-06-10,679,6,885.56,29308.04,28422.48,106
1125,SO49855,2024-09-28,2024-10-10,2024-05-10,442,6,1001.04,36148.76,35147.72,134
1126,SO63140,2025-07-31,2025-08-12,2025-07-08,264,6,652.86,18455.45,17802.59,133
1127,SO45545,2023-08-29,2023-09-10,2023-05-09,156,6,291.72,8965.93,8674.21,106
1128,SO44745,2023-05-31,2023-06-12,2023-07-06,118,6,615.68,26171.93,25556.25,135
1129,SO53477,2025-02-28,2025-03-12,2025-07-03,282,6,730.92,26294.85,25563.93,106
1130,SO58994,2025-05-30,2025-06-11,2025-06-06,172,6,0.46,24.29,23.83,135
1131,SO47013,2024-01-29,2024-02-10,2024-05-02,317,6,639.1,21209.67,20570.57,134
1132,SO48355,2024-05-30,2024-06-11,2024-06-06,262,6,1.46,70.33,68.87,133
1133,SO47977,2024-04-30,2024-05-12,2024-07-05,208,6,131.22,8206.49,8075.27,132
1134,SO57013,2025-04-30,2025-05-12,2025-07-05,353,6,236.8,5885.92,5649.12,135
1135,SO46945,2024-01-29,2024-02-10,2024-05-02,191,6,2.82,379.47,376.65,133
1136,SO48030,2024-04-30,2024-05-12,2024-07-05,280,6,102.38,3259.03,3156.65,132
1137,SO71804,2025-11-29,2025-12-11,2025-06-12,424,6,26.08,1626.61,1600.53,132
1138,SO49860,2024-09-28,2024-10-10,2024-05-10,119,6,1252.88,37997.66,36744.78,135
1139,SO48323,2024-05-30,2024-06-11,2024-06-06,550,6,139.58,3298.93,3159.35,133
1140,SO47663,2024-03-30,2024-04-11,2024-06-04,227,6,2058.64,74026.03,71967.39,132
1141,SO50242,2024-10-28,2024-11-09,2024-04-11,426,6,1097.28,36530.64,35433.36,106
1142,SO43898,2023-01-29,2023-02-10,2023-05-02,84,6,1306.02,51060.47,49754.45,106
1143,SO46938,2024-01-29,2024-02-10,2024-05-02,653,6,1433.2,53415.94,51982.74,133
1144,SO63239,2025-07-31,2025-08-12,2025-07-08,84,6,425.62,15360.97,14935.35,134
1145,SO57092,2025-04-30,2025-05-12,2025-07-05,390,6,0.5,32.39,31.89,106
1146,SO50676,2024-11-28,2024-12-10,2024-05-12,497,6,908.98,34899.07,33990.09,135
1147,SO43891,2023-01-29,2023-02-10,2023-05-02,29,6,1195.76,32569.1,31373.34,133
1148,SO49052,2024-07-31,2024-08-12,2024-07-08,533,6,2958.5,88446.8,85488.3,132
1149,SO44486,2023-05-01,2023-05-13,2023-08-05,318,6,25.52,603.4,577.88,106
1150,SO48053,2024-04-30,2024-05-12,2024-07-05,352,6,1221.74,38319.88,37098.14,133
1151,SO44533,2023-05-01,2023-05-13,2023-08-05,317,6,632.46,19499.79,18867.33,133
1152,SO65185,2025-08-29,2025-09-10,2025-05-09,424,6,43.28,1225.43,1182.15,134
1153,SO44103,2023-03-01,2023-03-13,2023-08-03,156,6,115.6,3814.34,3698.74,132
1154,SO50667,2024-11-28,2024-12-10,2024-05-12,47,6,388.12,11443.23,11055.11,132
1155,SO45786,2023-09-29,2023-10-11,2023-06-10,514,6,1944.18,68985.51,67041.33,132
1156,SO44749,2023-05-31,2023-06-12,2023-07-06,155,6,1361.18,45851.75,44490.57,135
1157,SO46035,2023-10-29,2023-11-10,2023-05-11,11,6,333.5,12240.56,11907.06,133
1158,SO69397,2025-10-29,2025-11-10,2025-05-11,64,6,720.76,26194.97,25474.21,135
1159,SO47399,2024-02-29,2024-03-12,2024-07-03,685,6,545.54,26560.4,26014.86,135
1160,SO50268,2024-10-28,2024-11-09,2024-04-11,191,6,28.62,527.47,498.85,133
1161,SO46024,2023-10-29,2023-11-10,2023-05-11,353,6,419.72,14280.56,13860.84,132
1162,SO47686,2024-03-30,2024-04-11,2024-06-04,679,6,0.56,65.6,65.04,133
1163,SO44282,2023-03-31,2023-04-12,2023-07-04,442,6,506.36,40341.11,39834.75,134
1164,SO46639,2023-12-29,2024-01-10,2024-05-01,480,6,210.08,6626.13,6416.05,133
1165,SO47381,2024-02-29,2024-03-12,2024-07-03,30,6,11.38,602.7,591.32,133
1166,SO50233,2024-10-28,2024-11-09,2024-04-11,335,6,125.22,3870.73,3745.51,106
1167,SO44295,2023-03-31,2023-04-12,2023-07-04,83,6,260.66,9475.53,9214.87,134
1168,SO71853,2025-11-29,2025-12-11,2025-06-12,613,6,167.38,3539.87,3372.49,106
1169,SO50685,2024-11-28,2024-12-10,2024-05-12,156,6,179.96,6631.71,6451.75,132
1170,SO51847,2025-01-28,2025-02-09,2025-04-02,661,6,419.78,9850.09,9430.31,132
1171,SO47047,2024-01-29,2024-02-10,2024-05-02,226,6,300.28,10085.49,9785.21,134
1172,SO59003,2025-05-30,2025-06-11,2025-06-06,550,6,168.42,3788.3,3619.88,135
1173,SO53456,2025-02-28,2025-03-12,2025-07-03,173,6,778.14,26817.72,26039.58,133
1174,SO45278,2023-08-01,2023-08-13,2023-08-08,191,6,695.32,29200.52,28505.2,106
1175,SO65198,2025-08-29,2025-09-10,2025-05-09,586,6,6.2,209.97,203.77,134
1176,SO51114,2024-12-28,2025-01-09,2025-04-01,679,6,0.6,672.29,671.69,106
1177,SO51113,2024-12-28,2025-01-09,2025-04-01,120,6,498.18,11700.18,11202.0,133
1178,SO59042,2025-05-30,2025-06-11,2025-06-06,190,6,96.42,3684.86,3588.44,135
1179,SO47415,2024-02-29,2024-03-12,2024-07-03,262,6,103.26,2779.89,2676.63,106
1180,SO67272,2025-09-29,2025-10-11,2025-06-10,119,6,726.92,24103.2,23376.28,134
1181,SO63290,2025-07-31,2025-08-12,2025-07-08,100,6,1071.06,26673.85,25602.79,133
1182,SO61215,2025-06-30,2025-07-12,2025-07-07,480,6,125.62,2843.95,2718.33,133
1183,SO71807,2025-11-29,2025-12-11,2025-06-12,443,6,25.66,494.0,468.34,135
1184,SO63128,2025-07-31,2025-08-12,2025-07-08,64,6,597.14,19361.63,18764.49,134
1185,SO65290,2025-08-29,2025-09-10,2025-05-09,190,6,40.6,1028.47,987.87,133
1186,SO44294,2023-03-31,2023-04-12,2023-07-04,119,6,2230.06,62073.58,59843.52,106
1187,SO67302,2025-09-29,2025-10-11,2025-06-10,442,6,1220.8,44879.68,43658.88,132
1188,SO50202,2024-10-28,2024-11-09,2024-04-11,389,6,115.18,2550.09,2434.91,134
1189,SO53558,2025-02-28,2025-03-12,2025-07-03,587,6,40.5,1249.65,1209.15,106
1190,SO57079,2025-04-30,2025-05-12,2025-07-05,280,6,480.6,10319.89,9839.29,135
1191,SO61222,2025-06-30,2025-07-12,2025-07-07,119,6,559.66,21286.54,20726.88,135
1192,SO45057,2023-07-01,2023-07-13,2023-08-07,679,6,712.68,22233.06,21520.38,133
1193,SO49039,2024-07-31,2024-08-12,2024-07-08,65,6,197.78,5168.57,4970.79,135
1194,SO46607,2023-12-29,2024-01-10,2024-05-01,227,6,3870.54,121037.45,117166.91,132
1195,SO69448,2025-10-29,2025-11-10,2025-05-11,336,6,721.64,18952.12,18230.48,106
1196,SO47967,2024-04-30,2024-05-12,2024-07-05,653,6,975.08,38408.15,37433.07,134
1197,SO71847,2025-11-29,2025-12-11,2025-06-12,154,6,2803.34,89981.79,87178.45,133
1198,SO50660,2024-11-28,2024-12-10,2024-05-12,388,6,0.7,22.79,22.09,134
1199,SO53481,2025-02-28,2025-03-12,2025-07-03,443,6,5.26,242.4,237.14,106
1200,SO44283,2023-03-31,2023-04-12,2023-07-04,227,6,1280.86,43846.58,42565.72,132
1201,SO49060,2024-07-31,2024-08-12,2024-07-08,280,6,28.6,1411.81,1383.21,106
1202,SO49467,2024-08-28,2024-09-09,2024-04-09,10,6,1013.44,38254.44,37241.0,106
1203,SO48297,2024-05-30,2024-06-11,2024-06-06,613,6,232.84,7971.97,7739.13,133
1204,SO53507,2025-02-28,2025-03-12,2025-07-03,407,6,139.18,4780.28,4641.1,134
1205,SO53508,2025-02-28,2025-03-12,2025-07-03,48,6,754.62,36687.31,35932.69,106
1206,SO45525,2023-08-29,2023-09-10,2023-05-09,631,6,294.0,7274.31,6980.31,106
1207,SO44547,2023-05-01,2023-05-13,2023-08-05,84,6,2142.52,69178.02,67035.5,132
1208,SO65235,2025-08-29,2025-09-10,2025-05-09,685,6,737.98,26765.79,26027.81,135
1209,SO63236,2025-07-31,2025-08-12,2025-07-08,316,6,77.18,2837.98,2760.8,132
1210,SO51124,2024-12-28,2025-01-09,2025-04-01,245,6,2685.86,77877.97,75192.11,134
1211,SO67286,2025-09-29,2025-10-11,2025-06-10,120,6,347.98,11802.56,11454.58,134
1212,SO44298,2023-03-31,2023-04-12,2023-07-04,679,6,1045.8,27666.45,26620.65,133
1213,SO49120,2024-07-31,2024-08-12,2024-07-08,335,6,3.48,68.38,64.9,135
1214,SO53543,2025-02-28,2025-03-12,2025-07-03,551,6,0.78,46.97,46.19,134
1215,SO44750,2023-05-31,2023-06-12,2023-07-06,678,6,2507.08,88977.38,86470.3,135
1216,SO46622,2023-12-29,2024-01-10,2024-05-01,119,6,1398.96,42319.24,40920.28,132
1217,SO49070,2024-07-31,2024-08-12,2024-07-08,317,6,603.74,23623.38,23019.64,134
1218,SO43677,2022-12-29,2023-01-10,2023-05-01,679,6,235.9,7793.11,7557.21,106
1219,SO58985,2025-05-30,2025-06-11,2025-06-06,637,6,62.62,3067.07,3004.45,134
1220,SO49468,2024-08-28,2024-09-09,2024-04-09,588,6,1351.34,36476.26,35124.92,135
1221,SO43850,2023-01-29,2023-02-10,2023-05-02,191,6,291.04,10183.8,9892.76,134
1222,SO44534,2023-05-01,2023-05-13,2023-08-05,354,6,2999.92,86452.28,83452.36,133
1223,SO50308,2024-10-28,2024-11-09,2024-04-11,226,6,80.98,2618.48,2537.5,106
1224,SO63122,2025-07-31,2025-08-12,2025-07-08,334,6,10.36,192.25,181.89,133
1225,SO49106,2024-07-31,2024-08-12,2024-07-08,336,6,434.14,15161.91,14727.77,132
1226,SO50200,2024-10-28,2024-11-09,2024-04-11,101,6,225.22,5605.25,5380.03,134
1227,SO58973,2025-05-30,2025-06-11,2025-06-06,460,6,0.84,16.18,15.34,134
1228,SO71786,2025-11-29,2025-12-11,2025-06-12,47,6,103.8,3593.87,3490.07,132
1229,SO53529,2025-02-28,2025-03-12,2025-07-03,701,6,0.86,16.27,15.41,133
1230,SO45792,2023-09-29,2023-10-11,2023-06-10,119,6,731.68,31578.82,30847.14,106
1231,SO46034,2023-10-29,2023-11-10,2023-05-11,191,6,990.04,29936.38,28946.34,133
1232,SO49153,2024-07-31,2024-08-12,2024-07-08,226,6,19.44,2527.3,2507.86,135
1233,SO61177,2025-06-30,2025-07-12,2025-07-07,442,6,398.44,21131.95,20733.51,133
1234,SO44300,2023-03-31,2023-04-12,2023-07-04,480,6,254.98,7802.88,7547.9,106
1235,SO49871,2024-09-28,2024-10-10,2024-05-10,425,6,107.88,5292.9,5185.02,134
1236,SO47389,2024-02-29,2024-03-12,2024-07-03,300,6,114.12,4356.86,4242.74,133
1237,SO69389,2025-10-29,2025-11-10,2025-05-11,65,6,172.2,5105.57,4933.37,132
1238,SO47966,2024-04-30,2024-05-12,2024-07-05,210,6,173.82,4940.8,4766.98,106
1239,SO49073,2024-07-31,2024-08-12,2024-07-08,444,6,59.46,2641.27,2581.81,134
1240,SO53528,2025-02-28,2025-03-12,2025-07-03,190,6,89.8,3928.46,3838.66,106
1241,SO49047,2024-07-31,2024-08-12,2024-07-08,191,6,20.72,489.98,469.26,132
1242,SO49103,2024-07-31,2024-08-12,2024-07-08,102,6,734.54,17494.41,16759.87,135
1243,SO51096,2024-12-28,2025-01-09,2025-04-01,514,6,2688.08,81788.15,79100.07,106
1244,SO48350,2024-05-30,2024-06-11,2024-06-06,10,6,947.12,35309.89,34362.77,106
1245,SO46658,2023-12-29,2024-01-10,2024-05-01,425,6,137.56,4838.67,4701.11,133
1246,SO69490,2025-10-29,2025-11-10,2025-05-11,570,6,42.24,1054.94,1012.7,132
1247,SO49085,2024-07-31,2024-08-12,2024-07-08,653,6,401.36,23124.23,22722.87,132
1248,SO43890,2023-01-29,2023-02-10,2023-05-02,354,6,2679.3,75191.96,72512.66,135
1249,SO51100,2024-12-28,2025-01-09,2025-04-01,119,6,1263.92,35151.16,33887.24,132
1250,SO43679,2022-12-29,2023-01-10,2023-05-01,480,6,17.28,1316.06,1298.78,106
1251,SO53503,2025-02-28,2025-03-12,2025-07-03,586,6,191.66,4246.9,4055.24,135
1252,SO46645,2023-12-29,2024-01-10,2024-05-01,245,6,2844.04,101373.12,98529.09,132
1253,SO65163,2025-08-29,2025-09-10,2025-05-09,154,6,1785.92,59234.84,57448.92,135
1254,SO61250,2025-06-30,2025-07-12,2025-07-07,425,6,153.52,2921.96,2768.44,132
1255,SO47978,2024-04-30,2024-05-12,2024-07-05,102,6,537.8,23268.74,22730.94,132
1256,SO63197,2025-07-31,2025-08-12,2025-07-08,570,6,12.0,339.61,327.61,133
1257,SO49041,2024-07-31,2024-08-12,2024-07-08,353,6,4.68,205.15,200.47,132
1258,SO48303,2024-05-30,2024-06-11,2024-06-06,551,6,1.18,24.29,23.11,135
1259,SO46935,2024-01-29,2024-02-10,2024-05-02,334,6,20.64,688.77,668.13,106
1260,SO48736,2024-06-30,2024-07-12,2024-07-07,246,6,1.22,33.77,32.55,133
1261,SO69390,2025-10-29,2025-11-10,2025-05-11,390,6,1.24,26.72,25.48,132
1262,SO50698,2024-11-28,2024-12-10,2024-05-12,10,6,879.02,26439.99,25560.97,132
1263,SO53464,2025-02-28,2025-03-12,2025-07-03,155,6,2506.82,64154.7,61647.88,135
1264,SO58911,2025-05-30,2025-06-11,2025-06-06,173,6,882.62,27499.87,26617.25,133
1265,SO63266,2025-07-31,2025-08-12,2025-07-08,352,6,631.5,39392.35,38760.85,132
1266,SO49458,2024-08-28,2024-09-09,2024-04-09,30,6,1.28,198.04,196.76,106
1267,SO48040,2024-04-30,2024-05-12,2024-07-05,137,6,55.16,1503.21,1448.05,106
1268,SO47696,2024-03-30,2024-04-11,2024-06-04,245,6,2696.16,60544.92,57848.76,132
1269,SO58913,2025-05-30,2025-06-11,2025-06-06,47,6,332.5,8387.95,8055.45,106
1270,SO45280,2023-08-01,2023-08-13,2023-08-08,102,6,169.96,12755.88,12585.92,133
1271,SO49519,2024-08-28,2024-09-09,2024-04-09,424,6,3.08,94.37,91.29,132
1272,SO63134,2025-07-31,2025-08-12,2025-07-08,138,6,182.92,7635.72,7452.8,135
1273,SO71891,2025-11-29,2025-12-11,2025-06-12,372,6,53.38,1932.43,1879.05,133
1274,SO48301,2024-05-30,2024-06-11,2024-06-06,631,6,1.32,44.99,43.67,106
1275,SO65188,2025-08-29,2025-09-10,2025-05-09,497,6,403.42,15054.92,14651.5,132
1276,SO43889,2023-01-29,2023-02-10,2023-05-02,661,6,68.2,2082.67,2014.47,133
1277,SO50190,2024-10-28,2024-11-09,2024-04-11,334,6,14.76,767.77,753.01,106
1278,SO47974,2024-04-30,2024-05-12,2024-07-05,191,6,25.52,642.65,617.13,132
1279,SO46074,2023-10-29,2023-11-10,2023-05-11,136,6,623.04,18206.62,17583.58,134
1280,SO71817,2025-11-29,2025-12-11,2025-06-12,228,6,14.2,518.3,504.1,135
1281,SO49508,2024-08-28,2024-09-09,2024-04-09,300,6,3.48,1376.48,1373.0,106
1282,SO43880,2023-01-29,2023-02-10,2023-05-02,336,6,498.58,15479.55,14980.97,106
1283,SO47396,2024-02-29,2024-03-12,2024-07-03,586,6,628.2,19717.96,19089.76,134
1284,SO57057,2025-04-30,2025-05-12,2025-07-05,677,6,186.64,5388.46,5201.82,134
1285,SO65166,2025-08-29,2025-09-10,2025-05-09,551,6,1.58,26.72,25.14,133
1286,SO49049,2024-07-31,2024-08-12,2024-07-08,389,6,5.96,136.76,130.8,135
1287,SO44498,2023-05-01,2023-05-13,2023-08-05,102,6,566.5,15432.46,14865.96,135
1288,SO48023,2024-04-30,2024-05-12,2024-07-05,336,6,547.12,31256.18,30709.06,106
1289,SO49507,2024-08-28,2024-09-09,2024-04-09,497,6,650.02,26975.86,26325.84,134
1290,SO44535,2023-05-01,2023-05-13,2023-08-05,136,6,651.4,23590.86,22939.46,135
1291,SO44525,2023-05-01,2023-05-13,2023-08-05,569,6,1374.02,41473.8,40099.78,132
1292,SO44086,2023-03-01,2023-03-13,2023-08-03,678,6,2027.14,73761.53,71734.39,135
1293,SO50666,2024-11-28,2024-12-10,2024-05-12,637,6,4.9,94.37,89.47,106
1294,SO58929,2025-05-30,2025-06-11,2025-06-06,424,6,46.46,2902.91,2856.45,135
1295,SO46951,2024-01-29,2024-02-10,2024-05-02,102,6,854.28,27892.41,27038.13,133
1296,SO50199,2024-10-28,2024-11-09,2024-04-11,102,6,866.86,23863.04,22996.18,134
1297,SO45316,2023-08-01,2023-08-13,2023-08-08,137,6,1.92,2024.99,2023.07,106
1298,SO48330,2024-05-30,2024-06-11,2024-06-06,406,6,2.0,65.6,63.6,106
1299,SO45279,2023-08-01,2023-08-13,2023-08-08,208,6,15.78,1022.86,1007.08,134
1300,SO48304,2024-05-30,2024-06-11,2024-06-06,47,6,333.04,12686.08,12353.04,134
1301,SO47963,2024-04-30,2024-05-12,2024-07-05,353,6,220.32,5031.81,4811.49,134
1302,SO58956,2025-05-30,2025-06-11,2025-06-06,48,6,1945.6,50668.99,48723.39,106
1303,SO49042,2024-07-31,2024-08-12,2024-07-08,334,6,53.94,1839.29,1785.35,134
1304,SO46038,2023-10-29,2023-11-10,2023-05-11,102,6,738.82,21702.08,20963.26,134
1305,SO45323,2023-08-01,2023-08-13,2023-08-08,84,6,1665.78,38694.97,37029.19,106
1306,SO50684,2024-11-28,2024-12-10,2024-05-12,586,6,173.88,7813.83,7639.95,106
1307,SO47379,2024-02-29,2024-03-12,2024-07-03,424,6,2.22,53.99,51.77,133
1308,SO71825,2025-11-29,2025-12-11,2025-06-12,586,6,109.18,3755.89,3646.71,135
1309,SO53572,2025-02-28,2025-03-12,2025-07-03,372,6,42.22,2259.71,2217.49,132
1310,SO48337,2024-05-30,2024-06-11,2024-06-06,586,6,345.66,12649.89,12304.23,106
1311,SO46997,2024-01-29,2024-02-10,2024-05-02,336,6,1784.3,57999.37,56215.07,132
1312,SO69455,2025-10-29,2025-11-10,2025-05-11,280,6,54.06,2076.54,2022.48,133
1313,SO45039,2023-07-01,2023-07-13,2023-08-07,227,6,923.4,27722.16,26798.76,135
1314,SO67319,2025-09-29,2025-10-11,2025-06-10,425,6,38.4,3173.93,3135.53,135
1315,SO50262,2024-10-28,2024-11-09,2024-04-11,353,6,4.94,182.35,177.41,135
1316,SO71814,2025-11-29,2025-12-11,2025-06-12,587,6,157.88,5573.9,5416.02,133
1317,SO49451,2024-08-28,2024-09-09,2024-04-09,613,6,111.36,2595.68,2484.32,134
1318,SO51779,2025-01-28,2025-02-09,2025-04-02,390,6,2.56,63.9,61.34,135
1319,SO50680,2024-11-28,2024-12-10,2024-05-12,300,6,64.9,1844.5,1779.6,135
1320,SO43888,2023-01-29,2023-02-10,2023-05-02,136,6,436.58,14432.82,13996.24,133
1321,SO53553,2025-02-28,2025-03-12,2025-07-03,228,6,10.78,370.79,360.01,134
1322,SO69446,2025-10-29,2025-11-10,2025-05-11,316,6,21.9,1712.95,1691.05,135
1323,SO63207,2025-07-31,2025-08-12,2025-07-08,677,6,6.04,293.96,287.92,135
1324,SO45553,2023-08-29,2023-09-10,2023-05-09,588,6,2401.3,69241.94,66840.64,134
1325,SO57047,2025-04-30,2025-05-12,2025-07-05,478,6,2.86,48.59,45.73,106
1326,SO44496,2023-05-01,2023-05-13,2023-08-05,191,6,1105.2,29797.16,28691.96,106
1327,SO63176,2025-07-31,2025-08-12,2025-07-08,426,6,194.72,6415.72,6221.0,135
1328,SO43855,2023-01-29,2023-02-10,2023-05-02,102,6,339.14,10993.35,10654.21,132
1329,SO48324,2024-05-30,2024-06-11,2024-06-06,30,6,64.0,2451.14,2387.14,134
1330,SO49075,2024-07-31,2024-08-12,2024-07-08,137,6,3.18,209.26,206.08,134
1331,SO51851,2025-01-28,2025-02-09,2025-04-02,629,6,79.3,3862.55,3783.25,132
1332,SO69548,2025-10-29,2025-11-10,2025-05-11,532,6,3.22,63.17,59.95,134
1333,SO44537,2023-05-01,2023-05-13,2023-08-05,137,6,3.32,57.68,54.36,133
1334,SO47014,2024-01-29,2024-02-10,2024-05-02,354,6,13.28,340.99,327.71,134
1335,SO48762,2024-06-30,2024-07-12,2024-07-07,480,6,88.04,2818.76,2730.72,134
1336,SO47412,2024-02-29,2024-03-12,2024-07-03,460,6,3.5,202.33,198.83,134
1337,SO48074,2024-04-30,2024-05-12,2024-07-05,532,6,3.62,202.33,198.71,106
1338,SO65264,2025-08-29,2025-09-10,2025-05-09,587,6,229.5,6943.51,6714.01,133
1339,SO50735,2024-11-28,2024-12-10,2024-05-12,701,6,70.88,2003.72,1932.84,134
1340,SO63169,2025-07-31,2025-08-12,2025-07-08,280,6,30.84,4298.96,4268.12,133
1341,SO69432,2025-10-29,2025-11-10,2025-05-11,677,6,30.5,649.14,618.64,133
1342,SO49072,2024-07-31,2024-08-12,2024-07-08,354,6,339.14,10532.35,10193.21,133
1343,SO53486,2025-02-28,2025-03-12,2025-07-03,172,6,11.68,4949.68,4938.0,132
1344,SO43854,2023-01-29,2023-02-10,2023-05-02,208,6,4.2,1749.59,1745.39,134
1345,SO58949,2025-05-30,2025-06-11,2025-06-06,586,6,362.64,7388.9,7026.26,106
1346,SO44526,2023-05-01,2023-05-13,2023-08-05,336,6,573.78,16506.14,15932.36,106
1347,SO49087,2024-07-31,2024-08-12,2024-07-08,478,6,4.42,324.45,320.03,106
1348,SO49469,2024-08-28,2024-09-09,2024-04-09,701,6,28.84,667.83,638.99,106
1349,SO50197,2024-10-28,2024-11-09,2024-04-11,208,6,17.14,3218.14,3201.0,134
1350,SO45054,2023-07-01,2023-07-13,2023-08-07,83,6,359.82,13254.36,12894.54,106
1351,SO50674,2024-11-28,2024-12-10,2024-05-12,424,6,11.7,324.62,312.92,133
1352,SO46037,2023-10-29,2023-11-10,2023-05-11,208,6,34.78,1017.5,982.72,132
1353,SO46975,2024-01-29,2024-02-10,2024-05-02,478,6,5.72,149.03,143.31,135
1354,SO45306,2023-08-01,2023-08-13,2023-08-08,336,6,205.0,6112.41,5907.41,106
1355,SO45272,2023-08-01,2023-08-13,2023-08-08,210,6,131.58,3775.13,3643.55,135
1356,SO53544,2025-02-28,2025-03-12,2025-07-03,630,6,32.7,1574.44,1541.74,135
1357,SO61232,2025-06-30,2025-07-12,2025-07-07,120,6,407.76,14427.74,14019.98,135
1358,SO71789,2025-11-29,2025-12-11,2025-06-12,630,6,6.22,105.29,99.07,133
1359,SO43893,2023-01-29,2023-02-10,2023-05-02,370,6,6.32,419.46,413.14,106
